Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
-12332,-90625,-5626,-15291,-314442,-491507,48176,-28952,-183754,-167664,16682,-113279,6515,120708,118403,18145,78456,304484,91595,145654,97809,135370,135300,57053,60566,123728,29788,-103444,270339,-114337,-58145,15488,-8862,106641,83805,-31693,70803,-29583,70733,7941,133914,233378,78374,44587,85273,186779,102159,50584,-13524,410059,11558,80883,61350,30692,68632,202705,191913,53465,105552,223309,47025,1057,-75469,53724,77116,-29722,-12234,49002,90854,153713,49922,149231,29987,42820,154023,20343,20597,25476,4206,19273,40633,204953,19213,11950,35087,62611,78837,87052,12496,29630,10288,18669,43091,35904,-1318,-57442,15051,-80897,-27958,597,42127,-1374,-17039,-6899,-43622,-94785,-16257,-34944,21238,50570,164827,14814,26657
118024,31861,266169,-116480,230420,2388,-34066,82331,-7832,-23018,123867,-123375,122017,62924,27439,100540,158938,201807,244776,20906,214397,156946,72891,91816,197202,146568,100914,71144,169473,159306,110227,173009,199494,-1758,260145,21735,82793,195745,-95982,5744,-9689,216283,62229,37210,47670,14454,41855,19819,47411,102812,47917,23322,66949,-22463,19860,42694,52544,32406,27630,1876,43204,105744,73789,72716,14840,11858,52448,100131,8759,27140,-3446,86021,9258,13944,72989,31627,30282,6370,-18505,-27793,-12829,42361,-2090,2289,28411,7426,16903,59230,6371,-2711,1793,17136,9607,5567,7355,33677,49765,60051,83806,77369,123817,25669,-16076,208161,104584,45749,30616,116575,128371,70318,179603,52709,594952
278302,199045,126155,342987,143658,101276,176740,135487,322189,290536,43122,80107,96767,79923,158913,77654,57289,226356,110592,149247,180268,194027,131257,169018,23980,144413,158742,145015,135188,153792,57240,123893,91430,180731,72762,102410,113432,102347,136864,27928,-8814,29385,49473,106605,81154,85856,99287,61744,-12878,78898,36109,65024,106354,47363,41533,28567,109555,23502,75131,223618,236197,72107,-45183,83144,44387,123182,44581,19932,80930,12670,42433,105294,91496,72118,135535,122753,-2065,5787,21608,23651,30971,64882,26354,54201,43150,14308,9169,56267,64807,101179,40874,55090,59291,65950,91912,60523,124107,122665,172312,98677,145602,118421,176633,51050,157855,78738,205085,135187,208594,80025,66541,84941,232151
117019,58361,77629,118015,86852,387646,273835,122608,-60939,127375,37158,45670,96193,6787,33856,51889,89282,122588,73503,86610,62557,19193,109760,207803,63398,93730,45458,79667,-18498,94415,54090,276222,11149,186486,71954,84473,22538,61383,36585,95026,108447,43471,13099,116424,118640,93218,102245,167972,36617,37354,47314,69356,15500,84794,14610,73195,43985,128658,120383,177908,234916,6130,75781,165240,95845,94104,84592,112360,146249,100991,60101,105657,71839,148264,102424,117071,60017,99061,34269,101563,76340,93331,90248,126697,72516,34956,105222,75440,161216,120736,98258,101847,94440,67757,65941,39730,122615,147414,-62146,56373,32395,38416,-10282,104335,103020,382999,36675,-37985,-54234,114781,118983,131248,209973
99452,152061,37048,149535,59264,33649,85805,-5175,272354,41062,66683,-9132,73978,23777,12876,387390,150482,-4082,10026,97831,-13145,185613,73495,58594,-38166,-8706,-30503,104941,63293,68088,28044,27859,4554,90797,61332,7006,43305,31866,13152,154337,31036,32525,59775,166217,59114,88811,42787,27311,68476,53224,80173,72976,84041,40215,66512,66635,66528,89309,124459,53951,105111,64845,65352,70996,72811,88087,186061,109919,134248,80993,76701,75980,55470,102266,144008,117868,43228,81684,163993,71527,92749,72723,49351,51844,64346,41740,73504,63152,102510,150841,127361,63542,76727,64435,67394,5375,22838,90736,87120,81607,117249,83004,45954,71419,47770,98717,74784,82193,108960,113802,96006,124613,112535
54852,97614,75587,146176,-11714,94703,72092,95953,55265,111143,41708,46995,-6304,5609,-44290,20878,97822,151061,4381,7321,12215,30298,28233,64473,-42389,-74295,3488,-19800,-2043,-42259,52549,26119,-25372,21122,26242,22160,34454,58008,24012,31115,39030,56304,67229,51559,34417,-1231,51065,80179,344182,15999,62366,30028,71451,107633,77513,-31433,26832,68061,7046,136424,107513,78902,89235,78146,99318,69301,26163,45472,92089,61845,59875,63085,34377,38799,59562,37663,63693,15765,46446,18380,114516,39814,99204,23452,35088,11159,74431,46835,58762,37791,55294,111615,71993,52752,77612,-82869,-1806,105460,39065,88598,101891,40397,57518,91089,59031,116365,103145,88655,40108,12747,87716,50332,152023
71959,45566,13777,72119,26613,45383,86753,84276,45296,36223,32943,21701,27226,14221,-33937,47043,30087,91297,18120,1289,13685,20836,72260,-5082,-4372,23085,-15555,35533,-48923,35872,46527,18036,10594,58275,40952,111281,79826,64825,21119,51106,39477,115865,96098,49502,59966,75698,61155,53487,77741,81749,114769,26503,-28092,-5341,77068,52049,58430,81874,65689,99371,99094,82890,59669,133076,44335,10509,24874,47374,57218,63060,20297,81597,75081,81768,70594,52300,24984,31559,31144,38271,125607,26191,27809,57058,67618,32435,-1289,32038,56721,104219,44109,38015,75504,53485,63015,26174,27811,105963,134647,157717,84386,19919,60600,61606,108712,74235,88645,38070,147683,73916,140502,80044,261586
127937,28817,52431,62028,65971,60008,79127,47105,93014,91612,48410,64917,29097,36592,51334,52106,125764,51359,15179,64034,35861,30069,76573,10567,8835,-8399,37988,32249,27674,5495,55803,49800,43056,34086,26892,73660,49750,91574,52068,34335,24100,148669,236974,82701,33615,29523,26345,36750,10683,55181,79552,43032,20966,15150,220916,140314,67065,63587,134565,151122,128742,88378,74780,75507,64449,73933,45277,85253,120453,61953,95776,84551,33499,34709,18817,41541,47179,48849,45336,35989,94237,15741,19459,85185,46374,30205,235235,81600,54011,50823,42481,39190,51950,51820,50299,63148,99720,80439,101103,131380,76331,98302,47398,95258,61688,112060,116710,95658,174008,78969,189634,84239,238419
24996,43730,45543,25757,36284,62740,48330,95460,41221,74427,75157,38252,30752,31811,37217,57938,163952,7812,36221,33081,47919,21527,9658,-15830,14163,-32499,14564,137505,21742,40715,44543,72679,92057,16654,32986,84933,55136,45481,48994,1643,122553,130871,86182,46585,113727,81506,104675,80376,12241,93357,68184,51686,68366,90125,90049,80856,43639,71637,74704,102650,133964,69412,40210,90312,88251,88382,83946,94003,508513,72727,180055,59043,67164,75349,75217,66262,75195,36637,59358,31251,412161,42483,21334,78217,45981,101174,68020,62964,58117,37043,59658,84673,110637,79850,55109,102983,100298,122271,158468,162934,68625,72085,68855,141979,277552,80488,124029,130013,235921,140672,156531,20034,257452
42942,14894,149550,42190,24635,-63832,62154,295735,60486,56968,65645,48666,209414,33257,-35248,92946,177279,52292,62053,56764,68800,15921,19350,-39435,-17006,47521,12846,20970,26034,39595,31200,45691,108260,35781,49357,67643,43671,121562,63661,7338,94575,88694,66781,121043,154916,94584,-9596,67988,106997,52354,57584,80539,34927,98046,181420,505294,66628,127173,108694,91283,110555,124410,116218,103861,105211,39992,99546,140026,381195,76121,169650,56032,26905,99133,60900,79252,81116,37130,69487,61865,326401,37842,53814,139305,74341,98918,76066,45232,74946,74042,85896,79153,143042,42997,99687,15062,122047,86451,106100,128788,78943,106433,69687,146852,98005,100099,73606,106413,227263,119343,115094,26513,54468
45567,-42763,83305,-84559,-25337,55264,24270,196863,66798,63018,80070,67172,205053,270833,-21405,70631,330538,70741,137288,71904,73496,13035,19136,-7930,141391,23613,9673,34497,47204,79510,38663,-36291,73019,142874,57867,79203,43121,19367,69035,-50951,49165,114172,10234,62477,77109,42261,13266,-23485,125708,100469,122314,55055,14588,335485,227430,184867,75775,131872,252900,100213,181318,111277,37059,52344,25453,49239,136388,201996,334306,90740,315933,-49590,110430,142821,20583,55221,96294,-8,59485,30802,184205,75639,43809,99401,58815,81076,67128,38830,78154,25195,52512,19994,91997,37645,231646,271706,104134,62716,96578,117924,55355,108308,40528,45098,106872,112744,82682,97511,161357,76551,153133,89439,113681
43778,3939,13705,31799,51541,-192401,-6831,126494,30417,-11090,92600,-90127,36034,-28610,162025,31653,260383,176516,45796,164271,69467,13780,26852,119859,75887,-21688,-4717,110012,5188,42854,6575,8991,-12211,89429,43793,113657,67290,-5189,14533,91497,137979,63453,42632,116592,173850,4088,-19263,-14646,302296,37317,73108,65892,40720,144550,277303,197179,47079,85871,132656,126862,142453,119626,105302,129930,67467,24678,94412,151234,208736,41253,76113,120594,74521,165461,-24927,-1374,30561,-20362,30118,50610,186177,44718,24948,29646,33364,129097,119787,42988,41402,10053,18795,54268,87257,12332,132234,214796,9212,130781,115544,99205,133020,120938,58599,-66045,72942,-24664,115908,161831,109355,115259,129506,24224,118814
-90626,-5625,-15291,-314441,-491507,48177,-28953,-183754,-167664,16682,-113279,6515,120708,118403,18145,78456,304484,91595,145654,97809,135370,135300,57053,60566,123728,29788,-103444,270339,-114337,-58145,15488,-8862,106641,83805,-31693,70803,-29583,70733,7942,133914,233378,78374,44587,85273,186779,102159,50584,-13524,410059,11558,80883,61350,30692,68632,202705,191913,53465,105552,223309,47026,1058,-75468,53723,77116,-29722,-12234,49002,90854,153713,49922,149231,29987,42820,154023,20344,20597,25476,4206,19273,40633,204953,19213,11950,35087,62611,78837,87052,12496,29630,10288,18669,43091,35904,-1318,-57442,15051,-80897,-27958,597,42127,-1374,-17039,-6898,-43622,-94785,-16256,-34945,21238,50570,164827,14815,26656,-12332
31860,266168,-116479,230421,2388,-34066,82331,-7832,-23018,123867,-123375,122017,62924,27439,100540,158937,201807,244776,20906,214397,156946,72891,91816,197202,146568,100914,71144,169474,159307,110228,173008,199494,-1758,260145,21735,82794,195745,-95982,5743,-9689,216283,62229,37210,47670,14454,41854,19819,47412,102812,47917,23322,66949,-22462,19860,42694,52543,32406,27630,1876,43203,105744,73789,72716,14840,11858,52448,100131,8759,27140,-3446,86021,9258,13944,72989,31626,30282,6370,-18505,-27792,-12829,42361,-2090,2289,28411,7426,16903,59229,6371,-2711,1793,17136,9607,5567,7354,33676,49765,60051,83806,77369,123817,25668,-16075,208160,104584,45748,30616,116575,128371,70318,179603,52710,594951,118024
199045,126155,342987,143658,101277,176740,135487,322189,290536,43122,80107,96767,79923,158913,77654,57289,226356,110592,149247,180268,194027,131257,169018,23980,144413,158742,145015,135189,153792,57240,123892,91430,180731,72762,102410,113432,102347,136864,27928,-8814,29385,49473,106605,81154,85855,99286,61744,-12877,78898,36109,65024,106354,47364,41533,28567,109554,23503,75131,223618,236197,72107,-45183,83144,44387,123182,44581,19932,80930,12670,42433,105294,91496,72118,135536,122753,-2065,5787,21608,23652,30971,64882,26354,54201,43150,14308,9169,56266,64807,101179,40874,55090,59291,65950,91912,60523,124107,122665,172312,98677,145602,118421,176634,51050,157855,78738,205085,135187,208594,80024,66542,84942,232151,278302
58361,77629,118015,86852,387646,273835,122609,-60939,127375,37158,45670,96193,6787,33856,51889,89282,122588,73503,86610,62557,19193,109760,207803,63398,93730,45458,79667,-18498,94415,54090,276222,11149,186486,71954,84473,22538,61383,36585,95025,108446,43470,13099,116424,118640,93218,102245,167973,36617,37354,47314,69356,15500,84794,14610,73195,43985,128659,120383,177908,234916,6130,75781,165240,95845,94104,84592,112360,146249,100991,60101,105657,71839,148265,102423,117072,60017,99061,34269,101563,76340,93332,90248,126697,72516,34956,105222,75440,161216,120736,98258,101847,94440,67758,65941,39730,122615,147414,-62146,56373,32395,38416,-10282,104335,103020,383000,36675,-37985,-54234,114781,118982,131248,209973,117020
152061,37047,149536,59264,33649,85805,-5175,272354,41062,66683,-9132,73978,23777,12876,387390,150482,-4082,10026,97831,-13145,185613,73495,58594,-38166,-8706,-30503,104941,63294,68088,28044,27858,4554,90797,61332,7006,43306,31866,13152,154338,31036,32525,59775,166217,59115,88812,42787,27312,68476,53224,80173,72976,84041,40216,66512,66635,66527,89309,124459,53951,105110,64845,65352,70996,72811,88087,186061,109919,134248,80993,76701,75980,55470,102265,144009,117867,43228,81684,163993,71528,92749,72723,49351,51844,64346,41740,73504,63151,102510,150841,127361,63542,76727,64435,67395,5375,22838,90736,87120,81607,117249,83004,45955,71420,47770,98717,74784,82193,108960,113802,96006,124613,112535,99452
97614,75587,146177,-11714,94703,72093,95953,55265,111143,41708,46995,-6304,5609,-44290,20878,97822,151061,4381,7321,12215,30298,28233,64473,-42389,-74295,3488,-19800,-2043,-42259,52549,26119,-25372,21122,26242,22160,34454,58008,24012,31115,39030,56304,67229,51559,34417,-1231,51065,80179,344182,15999,62366,30028,71451,107633,77513,-31433,26832,68061,7046,136424,107513,78902,89235,78146,99318,69301,26163,45472,92089,61845,59875,63085,34377,38799,59562,37663,63693,15765,46446,18380,114516,39814,99204,23452,35088,11159,74431,46835,58762,37791,55294,111615,71993,52752,77612,-82869,-1806,105460,39065,88598,101891,40396,57518,91089,59031,116364,103145,88655,40108,12746,87717,50332,152022,54852
45566,13777,72119,26613,45384,86753,84276,45296,36223,32943,21701,27226,14221,-33937,47043,30087,91297,18120,1289,13685,20836,72260,-5082,-4372,23085,-15555,35533,-48923,35872,46527,18036,10594,58275,40952,111281,79826,64825,21119,51106,39477,115865,96098,49502,59966,75698,61155,53487,77741,81749,114769,26503,-28092,-5341,77068,52049,58430,81874,65689,99371,99094,82890,59668,133076,44335,10509,24874,47374,57218,63060,20297,81597,75081,81768,70594,52300,24984,31559,31144,38271,125607,26191,27809,57058,67618,32435,-1289,32038,56721,104219,44109,38015,75504,53485,63015,26174,27811,105963,134647,157717,84386,19918,60600,61606,108712,74234,88645,38070,147683,73916,140502,80044,261585,71959
28817,52431,62027,65971,60009,79127,47105,93014,91612,48410,64917,29097,36592,51334,52106,125764,51359,15179,64034,35861,30069,76573,10567,8835,-8399,37988,32249,27674,5495,55803,49800,43056,34086,26892,73660,49750,91574,52068,34335,24100,148669,236974,82701,33615,29523,26345,36750,10683,55181,79552,43032,20966,15150,220916,140314,67065,63587,134565,151122,128742,88378,74780,75507,64449,73933,45277,85253,120453,61953,95776,84551,33499,34709,18817,41541,47179,48849,45336,35989,94237,15741,19459,85185,46374,30205,235235,81600,54011,50823,42481,39190,51950,51820,50299,63148,99720,80439,101103,131380,76331,98301,47398,95258,61688,112059,116711,95658,174008,78968,189635,84239,238419,127937
43731,45543,25758,36284,62741,48330,95460,41221,74427,75157,38252,30752,31811,37217,57938,163951,7812,36221,33081,47919,21527,9658,-15830,14163,-32499,14564,137505,21742,40715,44544,72679,92057,16654,32986,84932,55136,45481,48994,1643,122553,130871,86182,46585,113727,81506,104675,80375,12241,93357,68183,51686,68365,90125,90049,80856,43639,71637,74704,102650,133963,69412,40211,90312,88251,88382,83946,94003,508513,72727,180055,59043,67164,75350,75217,66262,75195,36637,59358,31251,412160,42483,21335,78217,45981,101174,68020,62964,58117,37043,59658,84673,110637,79851,55108,102983,100298,122271,158468,162934,68625,72085,68855,141979,277552,80489,124028,130013,235922,140673,156531,20033,257452,24996
14894,149550,42190,24636,-63831,62154,295735,60486,56968,65645,48666,209414,33257,-35248,92946,177279,52292,62053,56764,68800,15921,19350,-39435,-17006,47521,12846,20970,26034,39595,31201,45691,108260,35781,49357,67642,43671,121562,63662,7338,94575,88694,66781,121043,154917,94584,-9596,67987,106997,52354,57583,80539,34926,98046,181420,505294,66628,127173,108694,91283,110556,124410,116217,103861,105211,39992,99546,140026,381195,76121,169650,56032,26905,99134,60900,79252,81116,37130,69487,61865,326401,37842,53815,139305,74341,98918,76066,45232,74946,74042,85896,79153,143043,42997,99687,15061,122047,86451,106100,128788,78943,106433,69687,146852,98005,100099,73607,106413,227263,119343,115095,26512,54467,42942
-42763,83305,-84559,-25336,55263,24271,196863,66798,63018,80070,67172,205053,270833,-21405,70631,330538,70741,137288,71904,73496,13035,19136,-7930,141391,23613,9673,34497,47204,79510,38663,-36291,73019,142874,57867,79202,43121,19367,69036,-50950,49165,114172,10235,62477,77109,42262,13266,-23484,125707,100469,122314,55055,14588,335486,227429,184867,75775,131872,252900,100213,181317,111277,37059,52344,25453,49239,136388,201996,334306,90740,315933,-49590,110430,142822,20583,55221,96294,-8,59485,30802,184205,75639,43809,99401,58815,81076,67128,38830,78154,25195,52512,19994,91998,37645,231645,271706,104134,62716,96578,117924,55355,108308,40527,45097,106872,112744,82682,97511,161356,76551,153133,89439,113682,45567
3939,13705,31798,51541,-192401,-6831,126494,30417,-11090,92600,-90127,36034,-28610,162025,31653,260382,176516,45796,164271,69467,13780,26852,119859,75887,-21688,-4717,110012,5188,42854,6575,8991,-12211,89429,43793,113656,67290,-5189,14533,91497,137979,63453,42632,116592,173850,4089,-19263,-14646,302295,37317,73108,65892,40720,144550,277303,197179,47079,85871,132656,126863,142453,119625,105303,129930,67467,24678,94412,151234,208736,41253,76113,120594,74521,165461,-24927,-1374,30561,-20362,30118,50610,186177,44718,24948,29646,33364,129097,119787,42988,41402,10053,18795,54268,87258,12332,132234,214796,9212,130781,115544,99205,133020,120937,58599,-66045,72943,-24664,115908,161831,109355,115260,129505,24224,118813,43778
-5625,-15291,-314441,-491507,48177,-28952,-183754,-167664,16682,-113279,6515,120708,118403,18145,78456,304483,91595,145654,97809,135370,135300,57053,60566,123728,29788,-103444,270339,-114337,-58145,15488,-8862,106641,83805,-31693,70802,-29583,70733,7942,133914,233378,78374,44587,85273,186779,102159,50584,-13524,410059,11558,80883,61350,30692,68632,202705,191913,53465,105552,223309,47025,1058,-75469,53723,77116,-29722,-12234,49002,90854,153713,49922,149231,29987,42820,154022,20344,20597,25476,4206,19273,40633,204953,19213,11950,35087,62611,78837,87052,12496,29630,10288,18669,43091,35905,-1318,-57442,15051,-80897,-27958,597,42127,-1374,-17040,-6898,-43622,-94785,-16257,-34944,21239,50570,164827,14815,26656,-12331,-90625
266168,-116480,230421,2388,-34067,82331,-7832,-23018,123867,-123375,122017,62924,27439,100540,158938,201807,244776,20906,214397,156946,72891,91816,197202,146568,100914,71144,169474,159307,110228,173009,199494,-1758,260145,21735,82794,195745,-95982,5744,-9689,216283,62229,37210,47670,14454,41854,19819,47411,102812,47917,23321,66949,-22463,19859,42694,52543,32406,27630,1876,43204,105744,73790,72716,14840,11858,52448,100131,8759,27140,-3446,86021,9258,13944,72988,31627,30282,6370,-18505,-27792,-12829,42361,-2090,2290,28411,7426,16902,59229,6371,-2711,1793,17136,9607,5568,7355,33677,49764,60051,83806,77369,123816,25668,-16075,208160,104584,45749,30617,116574,128371,70318,179603,52710,594952,118024,31861
126156,342987,143658,101276,176739,135488,322189,290536,43122,80107,96767,79923,158913,77654,57289,226356,110592,149247,180268,194027,131257,169018,23980,144413,158742,145015,135189,153792,57240,123893,91430,180731,72762,102410,113432,102347,136864,27929,-8814,29385,49473,106605,81154,85855,99287,61744,-12878,78897,36109,65023,106354,47363,41533,28566,109554,23503,75131,223618,236196,72107,-45184,83144,44387,123182,44581,19932,80930,12670,42433,105294,91496,72118,135536,122753,-2065,5787,21608,23652,30971,64881,26354,54202,43150,14308,9169,56266,64807,101179,40874,55090,59291,65951,91912,60522,124107,122665,172312,98677,145602,118420,176634,51050,157855,78739,205085,135187,208594,80025,66542,84942,232151,278302,199045
77629,118014,86852,387646,273834,122609,-60939,127375,37158,45670,96193,6787,33856,51889,89282,122588,73503,86610,62557,19193,109760,207803,63398,93730,45458,79667,-18498,94415,54090,276222,11149,186486,71954,84473,22538,61383,36585,95026,108447,43470,13099,116424,118640,93218,102244,167973,36617,37353,47314,69356,15500,84794,14611,73194,43985,128659,120383,177908,234916,6130,75781,165240,95845,94104,84592,112360,146249,100991,60101,105657,71839,148264,102423,117071,60017,99061,34269,101563,76340,93332,90248,126697,72516,34956,105221,75440,161216,120736,98258,101847,94440,67758,65940,39730,122615,147414,-62146,56373,32395,38415,-10282,104334,103020,383000,36675,-37985,-54234,114781,118982,131249,209973,117019,58362
37048,149536,59264,33649,85805,-5175,272354,41062,66683,-9132,73978,23777,12876,387390,150482,-4083,10026,97831,-13145,185613,73495,58594,-38166,-8706,-30503,104941,63294,68088,28043,27859,4554,90797,61332,7006,43306,31866,13152,154338,31036,32525,59775,166218,59115,88812,42787,27312,68476,53223,80173,72975,84041,40215,66512,66635,66527,89309,124459,53951,105110,64845,65352,70996,72811,88087,186061,109919,134248,80993,76701,75980,55470,102266,144008,117867,43228,81684,163993,71528,92749,72722,49351,51845,64346,41740,73503,63151,102510,150841,127361,63542,76727,64435,67394,5374,22838,90736,87120,81607,117249,83004,45955,71419,47770,98717,74783,82192,108960,113801,96006,124613,112535,99452,152061
75587,146176,-11714,94704,72093,95953,55265,111143,41708,46995,-6304,5609,-44290,20878,97822,151061,4381,7321,12215,30298,28233,64473,-42389,-74295,3488,-19800,-2043,-42259,52549,26119,-25372,21122,26242,22160,34454,58008,24012,31115,39030,56304,67229,51559,34417,-1231,51065,80179,344182,15999,62366,30028,71451,107633,77513,-31433,26832,68061,7046,136424,107514,78902,89234,78146,99318,69301,26163,45472,92089,61845,59875,63085,34377,38799,59562,37663,63693,15765,46446,18380,114516,39814,99204,23452,35088,11159,74431,46835,58762,37791,55294,111615,71993,52752,77612,-82869,-1806,105460,39065,88598,101891,40397,57518,91089,59031,116365,103145,88655,40108,12747,87716,50332,152023,54852,97614
13777,72120,26613,45383,86753,84276,45296,36223,32943,21701,27226,14221,-33937,47043,30087,91297,18120,1289,13685,20836,72260,-5082,-4372,23085,-15555,35533,-48923,35872,46527,18036,10594,58275,40952,111281,79826,64825,21119,51106,39477,115865,96098,49502,59966,75698,61155,53487,77741,81749,114769,26503,-28092,-5341,77068,52049,58430,81874,65689,99371,99094,82890,59669,133076,44335,10509,24874,47374,57218,63060,20297,81597,75081,81768,70594,52300,24984,31559,31144,38271,125607,26191,27809,57058,67618,32435,-1289,32038,56721,104219,44109,38015,75504,53485,63015,26174,27811,105963,134647,157717,84386,19919,60600,61606,108712,74235,88645,38070,147683,73916,140502,80044,261586,71959,45566
52431,62028,65971,60009,79127,47105,93014,91612,48410,64917,29097,36592,51334,52106,125764,51359,15179,64034,35861,30069,76573,10567,8835,-8399,37988,32249,27674,5495,55803,49800,43056,34086,26892,73660,49750,91574,52068,34335,24100,148669,236974,82701,33615,29523,26345,36750,10683,55181,79552,43032,20966,15150,220916,140314,67065,63587,134565,151122,128742,88378,74779,75507,64449,73933,45277,85253,120453,61953,95776,84551,33499,34709,18817,41541,47179,48849,45336,35989,94237,15741,19459,85185,46374,30205,235235,81600,54011,50823,42481,39190,51950,51820,50299,63148,99720,80439,101103,131380,76331,98302,47398,95258,61688,112060,116711,95658,174008,78969,189634,84239,238418,127937,28817
45542,25758,36284,62741,48330,95460,41221,74427,75157,38252,30752,31811,37217,57938,163952,7812,36221,33081,47919,21527,9658,-15830,14163,-32499,14564,137505,21742,40715,44544,72679,92057,16654,32986,84932,55136,45481,48994,1643,122553,130871,86182,46585,113727,81505,104675,80375,12241,93357,68183,51686,68366,90125,90049,80857,43639,71638,74704,102650,133963,69412,40211,90312,88251,88382,83946,94003,508513,72727,180055,59043,67164,75350,75217,66262,75195,36637,59358,31251,412161,42483,21334,78217,45981,101174,68020,62964,58117,37043,59658,84673,110637,79850,55108,102983,100297,122270,158468,162934,68625,72085,68855,141978,277552,80489,124028,130013,235922,140672,156532,20034,257452,24996,43731
149549,42189,24636,-63831,62154,295735,60486,56968,65645,48666,209414,33257,-35248,92946,177279,52292,62053,56764,68800,15921,19350,-39435,-17006,47521,12846,20970,26034,39595,31201,45691,108260,35781,49357,67643,43671,121562,63662,7338,94574,88694,66781,121043,154917,94583,-9596,67987,106997,52354,57583,80539,34927,98046,181420,505295,66628,127174,108694,91283,110555,124411,116217,103861,105211,39992,99546,140026,381195,76121,169650,56032,26905,99134,60899,79252,81116,37130,69487,61865,326401,37842,53814,139304,74341,98918,76066,45232,74946,74042,85896,79153,143043,42997,99686,15061,122046,86450,106100,128788,78943,106433,69687,146852,98005,100099,73607,106412,227263,119343,115095,26513,54468,42942,14894
83305,-84558,-25336,55264,24271,196863,66798,63018,80070,67172,205053,270833,-21405,70631,330538,70741,137288,71904,73496,13035,19136,-7930,141391,23613,9673,34497,47204,79510,38663,-36291,73019,142874,57867,79203,43121,19367,69036,-50951,49165,114172,10234,62477,77109,42262,13266,-23484,125708,100469,122314,55055,14588,335486,227430,184867,75775,131872,252900,100213,181318,111277,37059,52344,25453,49239,136388,201996,334306,90740,315933,-49590,110430,142822,20583,55221,96294,-8,59485,30802,184205,75639,43809,99401,58815,81076,67128,38830,78154,25195,52512,19994,91998,37645,231646,271705,104134,62716,96578,117924,55355,108308,40528,45098,106872,112743,82683,97510,161357,76550,153132,89439,113682,45567,-42763
13704,31799,51541,-192402,-6831,126494,30417,-11090,92600,-90127,36034,-28610,162025,31653,260383,176516,45796,164271,69467,13780,26852,119859,75887,-21688,-4717,110012,5188,42854,6575,8991,-12211,89429,43793,113657,67290,-5189,14533,91497,137979,63453,42632,116592,173850,4088,-19263,-14646,302296,37317,73108,65892,40720,144550,277303,197179,47079,85871,132656,126863,142453,119625,105303,129930,67467,24678,94412,151234,208736,41253,76113,120594,74521,165460,-24928,-1374,30561,-20362,30118,50610,186177,44718,24948,29646,33364,129097,119787,42988,41402,10053,18795,54268,87258,12332,132234,214796,9212,130781,115544,99205,133020,120938,58599,-66045,72943,-24665,115908,161831,109355,115259,129506,24224,118814,43778,3939
-15291,-314441,-491507,48177,-28952,-183754,-167664,16682,-113279,6515,120708,118403,18145,78456,304484,91595,145654,97809,135370,135300,57053,60566,123728,29788,-103444,270339,-114337,-58145,15488,-8862,106641,83805,-31693,70803,-29583,70733,7942,133914,233378,78374,44587,85273,186779,102158,50584,-13524,410059,11558,80883,61350,30692,68632,202705,191913,53465,105552,223309,47026,1057,-75468,53724,77116,-29722,-12234,49002,90854,153713,49922,149231,29987,42820,154022,20344,20597,25476,4206,19273,40633,204953,19213,11950,35087,62611,78837,87052,12496,29630,10288,18669,43091,35904,-1318,-57442,15051,-80897,-27958,597,42127,-1374,-17039,-6898,-43622,-94784,-16256,-34944,21239,50569,164827,14815,26657,-12331,-90625,-5625
-116479,230421,2387,-34067,82331,-7832,-23018,123867,-123375,122017,62924,27439,100540,158938,201807,244776,20906,214397,156946,72891,91816,197202,146568,100914,71144,169474,159307,110228,173009,199494,-1758,260145,21735,82794,195745,-95982,5744,-9689,216283,62229,37210,47670,14454,41855,19819,47411,102812,47917,23321,66949,-22462,19859,42694,52544,32406,27631,1876,43204,105744,73790,72715,14840,11858,52448,100131,8759,27140,-3446,86021,9258,13944,72989,31627,30282,6370,-18505,-27792,-12829,42361,-2090,2289,28410,7426,16903,59229,6371,-2711,1793,17136,9607,5568,7354,33676,49765,60050,83805,77369,123816,25668,-16075,208160,104584,45748,30617,116574,128371,70317,179603,52710,594952,118023,31861,266169
